0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39
-0.21356,0.37646,3.131,0.018047,2.6156,-0.12819,3.1829,-0.03261,-1.5076,0.61077,3.1074,0.041409,2.3712,-0.083688,3.1784,-0.028176,0.40702,0.26627,3.1424,0.0069732,-1.1017,0.53628,3.1148,0.034029,-2.5874,0.81555,3.088,0.061451,-3.1122,0.91968,3.0787,0.071479,0.084067,0.32352,3.1365,0.012731,3.2798,-0.25118,3.195,-0.044791
-0.17552,0.38417,3.1328,0.017073,2.6009,-0.16574,3.1797,-0.03152,-1.4451,0.63902,3.1115,0.039441,2.3611,-0.11737,3.1757,-0.027273,0.43354,0.26406,3.1431,0.0064446,-1.047,0.55814,3.1181,0.032381,-2.5035,0.86038,3.094,0.058563,-3.0176,0.97231,3.0857,0.068119,0.11658,0.32649,3.1377,0.011968,3.2523,-0.29915,3.1906,-0.043172
-0.13678,0.39019,3.1344,0.016098,2.5826,-0.2,3.1766,-0.030362,-1.38,0.66324,3.1153,0.037446,2.3479,-0.14819,3.173,-0.026308,0.45981,0.26123,3.1437,0.0059316,-0.99022,0.57673,3.1213,0.030713,-2.4155,0.89923,3.0997,0.055641,-2.918,1.018,3.0923,0.064699,0.14932,0.32827,3.1389,0.011215,3.2201,-0.3426,3.1863,-0.041476
-0.09753,0.39463,3.136,0.01513,2.561,-0.2311,3.1736,-0.029165,-1.3126,0.68369,3.119,0.035456,2.3316,-0.17628,3.1704,-0.025304,0.48577,0.25784,3.1443,0.005435,-0.93175,0.59224,3.1243,0.029047,-2.3239,0.9325,3.1051,0.052716,-2.8142,1.0573,3.0986,0.061256,0.18219,0.32895,3.14,0.010476,3.1839,-0.38181,3.1823,-0.039736
-0.057906,0.39759,3.1375,0.014176,2.5365,-0.25925,3.1708,-0.027948,-1.2434,0.70063,3.1224,0.033488,2.3127,-0.20179,3.1679,-0.024281,0.51136,0.25395,3.1448,0.0049562,-0.87188,0.60485,3.1271,0.027404,-2.2292,0.96056,3.1103,0.049808,-2.7067,1.0905,3.1046,0.057832,0.21508,0.32863,3.141,0.0097533,3.1439,-0.41699,3.1784,-0.037967
-0.018056,0.39918,3.1388,0.013243,2.5093,-0.28458,3.168,-0.02672,-1.1726,0.7143,3.1257,0.031549,2.2913,-0.22485,3.1655,-0.023247,0.53654,0.2496,3.1453,0.0044965,-0.81088,0.61478,3.1297,0.025793,-2.1319,0.98375,3.1151,0.04694,-2.5963,1.118,3.1102,0.054468,0.24789,0.32737,3.1419,0.0090501,3.1006,-0.44839,3.1747,-0.036189
0.021888,0.39949,3.1401,0.012341,2.4797,-0.30725,3.1654,-0.02549,-1.1006,0.7249,3.1287,0.029648,2.2678,-0.24559,3.1633,-0.02221,0.56127,0.24484,3.1457,0.0040576,-0.74901,0.62221,3.1322,0.024216,-2.0326,1.0024,3.1197,0.044137,-2.4833,1.1402,3.1155,0.05121,0.28053,0.32526,3.1428,0.0083694,3.0543,-0.47619,3.1711,-0.03442
0.061802,0.39863,3.1413,0.01147,2.4479,-0.3274,3.1629,-0.02427,-1.0277,0.73263,3.1316,0.027797,2.2423,-0.26412,3.1611,-0.021178,0.5855,0.23972,3.1461,0.0036401,-0.68651,0.6273,3.1346,0.022679,-1.9316,1.0167,3.1239,0.041426,-2.3684,1.1575,3.1204,0.048059,0.31291,0.32236,3.1436,0.0077146,3.0055,-0.5006,3.1678,-0.032683
0.10157,0.39667,3.1424,0.01063,2.4142,-0.34515,3.1606,-0.023072,-0.95415,0.7377,3.1343,0.026008,2.215,-0.28056,3.159,-0.020159,0.6092,0.23427,3.1464,0.0032428,-0.62362,0.63022,3.1368,0.021188,-1.8294,1.0271,3.1279,0.038808,-2.252,1.1702,3.1251,0.04501,0.34497,0.31873,3.1443,0.0070871,2.9543,-0.52179,3.1646,-0.030987
0.1411,0.39372,3.1434,0.0098197,2.3789,-0.36064,3.1583,-0.0219,-0.88024,0.74028,3.1368,0.024281,2.1862,-0.29502,3.1571,-0.019162,0.63234,0.22853,3.1467,0.0028651,-0.56053,0.63112,3.1388,0.01975,-1.7263,1.0338,3.1317,0.036278,-2.1345,1.1786,3.1295,0.042064,0.37664,0.31445,3.145,0.0064855,2.9012,-0.53996,3.1616,-0.02933
